id,avgscore,level,class,file,,,,,,,
53,7.1,high,4,53.jpg,,,,,,,
71,8.04,high,4,71.jpg,,,,,,,
76,4.2,low,2,76.jpg,,,,,,,
77,6.96,high,3,77.jpg,,,,,,,
87,3.23,low,2,87.jpg,,,,,,,
101,3.42,low,2,101.jpg,,,,,,,
106,8.6,high,4,106.jpg,,,,,,,
107,3.95,low,2,107.jpg,,,,,,,
108,4.28,low,2,108.jpg,,,,,,1,
126,6.51,high,3,126.jpg,,,,,,3,1
128,6.81,high,3,128.jpg,,,,,,5,2
132,7.12,high,4,132.jpg,,,,,,7,3
133,4.43,low,2,133.jpg,,,,,,9,4
137,6.47,high,3,137.jpg,,,,,,,
146,4.42,low,2,146.jpg,,,,,,,
149,6.48,high,3,149.jpg,,,,,,,
150,8.52,high,4,150.jpg,,,,,,,
154,3.56,low,2,154.jpg,,,,,,,
158,6.5,high,3,158.jpg,,,,,,,
160,6.73,high,3,160.jpg,,,,,,,
162,8.1,high,4,162.jpg,,,,,,,
167,3.84,low,2,167.jpg,,,,,,,
170,6.77,high,3,170.jpg,,,,,,,
175,6.52,high,3,175.jpg,,,,,,,
177,3.73,low,2,177.jpg,,,,,,,
185,6.59,high,3,185.jpg,,,,,,,
189,6.58,high,3,189.jpg,,,,,,,
191,4.16,low,2,191.jpg,,,,,,,
201,3.41,low,2,201.jpg,,,,,,,
202,6.69,high,3,202.jpg,,,,,,,
205,3.93,low,2,205.jpg,,,,,,,
208,6.96,high,3,208.jpg,,,,,,,
211,3.52,low,2,211.jpg,,,,,,,
213,4.01,low,2,213.jpg,,,,,,,
217,4.37,low,2,217.jpg,,,,,,,
225,7.13,high,4,225.jpg,,,,,,,
227,2.91,low,1,227.jpg,,,,,,,
230,6.93,high,3,230.jpg,,,,,,,
235,6.83,high,3,235.jpg,,,,,,,
239,4.21,low,2,239.jpg,,,,,,,
240,4.04,low,2,240.jpg,,,,,,,
246,4.15,low,2,246.jpg,,,,,,,
251,6.75,high,3,251.jpg,,,,,,,
252,4.34,low,2,252.jpg,,,,,,,
253,6.52,high,3,253.jpg,,,,,,,
259,3.85,low,2,259.jpg,,,,,,,
263,3.43,low,2,263.jpg,,,,,,,
268,3.08,low,2,268.jpg,,,,,,,
269,3.07,low,2,269.jpg,,,,,,,
274,3.95,low,2,274.jpg,,,,,,,
275,4.36,low,2,275.jpg,,,,,,,
279,6.74,high,3,279.jpg,,,,,,,
283,7.04,high,4,283.jpg,,,,,,,
285,4.13,low,2,285.jpg,,,,,,,
294,4.31,low,2,294.jpg,,,,,,,
295,3.86,low,2,295.jpg,,,,,,,
301,4.39,low,2,301.jpg,,,,,,,
303,3.71,low,2,303.jpg,,,,,,,
304,6.74,high,3,304.jpg,,,,,,,
306,4.13,low,2,306.jpg,,,,,,,
308,3.66,low,2,308.jpg,,,,,,,
311,6.71,high,3,311.jpg,,,,,,,
314,3.45,low,2,314.jpg,,,,,,,
315,6.58,high,3,315.jpg,,,,,,,
317,3.92,low,2,317.jpg,,,,,,,
319,4.36,low,2,319.jpg,,,,,,,
322,6.79,high,3,322.jpg,,,,,,,
333,4.06,low,2,333.jpg,,,,,,,
351,6.41,high,3,351.jpg,,,,,,,
355,3.56,low,2,355.jpg,,,,,,,
361,3.08,low,2,361.jpg,,,,,,,
364,3.54,low,2,364.jpg,,,,,,,
366,6.69,high,3,366.jpg,,,,,,,
368,4.38,low,2,368.jpg,,,,,,,
370,3.65,low,2,370.jpg,,,,,,,
371,4.38,low,2,371.jpg,,,,,,,
374,3.24,low,2,374.jpg,,,,,,,
376,7.45,high,4,376.jpg,,,,,,,
377,6.68,high,3,377.jpg,,,,,,,
378,4.24,low,2,378.jpg,,,,,,,
379,4.38,low,2,379.jpg,,,,,,,
385,6.57,high,3,385.jpg,,,,,,,
388,6.67,high,3,388.jpg,,,,,,,
389,6.5,high,3,389.jpg,,,,,,,
391,6.49,high,3,391.jpg,,,,,,,
392,4.12,low,2,392.jpg,,,,,,,
395,4.27,low,2,395.jpg,,,,,,,
397,4.03,low,2,397.jpg,,,,,,,
398,3.97,low,2,398.jpg,,,,,,,
405,4.02,low,2,405.jpg,,,,,,,
406,3.92,low,2,406.jpg,,,,,,,
408,3.56,low,2,408.jpg,,,,,,,
409,3.69,low,2,409.jpg,,,,,,,
412,3.87,low,2,412.jpg,,,,,,,
413,3.78,low,2,413.jpg,,,,,,,
414,3.61,low,2,414.jpg,,,,,,,
417,3.9,low,2,417.jpg,,,,,,,
448,6.9,high,3,448.jpg,,,,,,,
449,7.06,high,4,449.jpg,,,,,,,
460,4.18,low,2,460.jpg,,,,,,,
465,6.33,high,3,465.jpg,,,,,,,
482,6.36,high,3,482.jpg,,,,,,,
483,6.68,high,3,483.jpg,,,,,,,
488,7.26,high,4,488.jpg,,,,,,,
493,6.91,high,3,493.jpg,,,,,,,
496,3.75,low,2,496.jpg,,,,,,,
502,4.38,low,2,502.jpg,,,,,,,
506,6.5,high,3,506.jpg,,,,,,,
507,3.15,low,2,507.jpg,,,,,,,
510,6.4,high,3,510.jpg,,,,,,,
513,3.64,low,2,513.jpg,,,,,,,
519,6.4,high,3,519.jpg,,,,,,,
521,7.64,high,4,521.jpg,,,,,,,
522,4.3,low,2,522.jpg,,,,,,,
523,6.48,high,3,523.jpg,,,,,,,
527,4.13,low,2,527.jpg,,,,,,,
528,3.31,low,2,528.jpg,,,,,,,
530,3.82,low,2,530.jpg,,,,,,,
535,6.51,high,3,535.jpg,,,,,,,
540,6.39,high,3,540.jpg,,,,,,,
555,6.55,high,3,555.jpg,,,,,,,
563,6.5,high,3,563.jpg,,,,,,,
573,6.48,high,3,573.jpg,,,,,,,
574,6.47,high,3,574.jpg,,,,,,,
575,3.66,low,2,575.jpg,,,,,,,
576,6.37,high,3,576.jpg,,,,,,,
577,6.55,high,3,577.jpg,,,,,,,
581,6.41,high,3,581.jpg,,,,,,,
594,3.06,low,2,594.jpg,,,,,,,
595,6.53,high,3,595.jpg,,,,,,,
597,6.88,high,3,597.jpg,,,,,,,
598,4.42,low,2,598.jpg,,,,,,,
602,3.05,low,2,602.jpg,,,,,,,
616,2.41,low,1,616.jpg,,,,,,,
621,6.77,high,3,621.jpg,,,,,,,
624,3.73,low,2,624.jpg,,,,,,,
637,6.37,high,3,637.jpg,,,,,,,
644,6.83,high,3,644.jpg,,,,,,,
645,3.83,low,2,645.jpg,,,,,,,
650,6.73,high,3,650.jpg,,,,,,,
655,4.23,low,2,655.jpg,,,,,,,
658,4.38,low,2,658.jpg,,,,,,,
669,4.44,low,2,669.jpg,,,,,,,
684,7.34,high,4,684.jpg,,,,,,,
690,3.44,low,2,690.jpg,,,,,,,
706,6.38,high,3,706.jpg,,,,,,,
712,6.71,high,3,712.jpg,,,,,,,
716,4.39,low,2,716.jpg,,,,,,,
727,4.1,low,2,727.jpg,,,,,,,
729,2.31,low,1,729.jpg,,,,,,,
730,6.6,high,3,730.jpg,,,,,,,
735,3.82,low,2,735.jpg,,,,,,,
738,7.75,high,4,738.jpg,,,,,,,
743,4.39,low,2,743.jpg,,,,,,,
748,4.17,low,2,748.jpg,,,,,,,
755,6.67,high,3,755.jpg,,,,,,,
